Links,Scraped
https://pillow.readthedocs.io/en/stable/installation/basic-installation.html,True
https://pillow.readthedocs.io/en/stable/handbook,True
https://pillow.readthedocs.io/en/stable/reference/open_files.html,True
https://pillow.readthedocs.io/en/stable/reference/ImageMath.html,True
https://pillow.readthedocs.io/en/stable/reference/PSDraw.html,True
https://pillow.readthedocs.io/en/stable/reference/ImageGrab.html,True
https://pillow.readthedocs.io/en/stable/reference/block_allocator.html,False
https://pillow.readthedocs.io/en/stable/reference/index.html,True
https://pillow.readthedocs.io/en/stable/reference/ImageChops.html,True
https://pillow.readthedocs.io/en/stable/installation/platform-support.html,True
https://pillow.readthedocs.io/en/stable/reference/ImageWin.html,True
https://pillow.readthedocs.io/en/stable/reference/ImageShow.html,True
https://pillow.readthedocs.io/en/stable/reference/JpegPresets.html,True
https://pillow.readthedocs.io/en/stable/installation/python-support.html,True
https://pillow.readthedocs.io/en/stable/reference/,True
https://pillow.readthedocs.io/en/stable/reference/ImageMorph.html,True
https://pillow.readthedocs.io/en/stable/handbook/writing-your-own-image-plugin.html,True
https://pillow.readthedocs.io/en/stable/reference/ImageStat.html,True
https://pillow.readthedocs.io/en/stable/reference/c_extension_debugging.html,True
https://pillow.readthedocs.io/en/stable/installation,True
https://pillow.readthedocs.io/en/stable/reference/ImageSequence.html,True
https://pillow.readthedocs.io/en/stable/reference/limits.html,False
https://pillow.readthedocs.io/en/stable/reference/ImagePath.html,True
https://pillow.readthedocs.io/en/stable/installation.html,False
https://pillow.readthedocs.io/en/stable/handbook/,True
https://pillow.readthedocs.io/en/stable/installation/index.html,True
https://pillow.readthedocs.io/en/stable/handbook/overview.html,True
https://pillow.readthedocs.io/en/stable/reference/ImageFilter.html,True
https://pillow.readthedocs.io/en/stable/reference/ImageQt.html,True
https://pillow.readthedocs.io/en/stable/reference/features.html,True
https://pillow.readthedocs.io/en/stable/reference/ExifTags.html,False
https://pillow.readthedocs.io/en/stable/handbook/appendices.html,True
https://pillow.readthedocs.io/en/stable/handbook/text-anchors.html,False
https://pillow.readthedocs.io/en/stable/reference/ImageDraw.html,True
https://pillow.readthedocs.io/en/stable/reference/ImageCms.html,True
https://pillow.readthedocs.io/en/stable/reference/internal_design.html,True
https://pillow.readthedocs.io/en/stable/reference/ImageTk.html,True
https://pillow.readthedocs.io/en/stable/reference,True
https://pillow.readthedocs.io/en/stable/reference/TiffTags.html,True
https://pillow.readthedocs.io/en/stable/installation/building-from-source.html,True
https://pillow.readthedocs.io/en/stable/reference/ImageColor.html,True
https://pillow.readthedocs.io/en/stable/reference/arrow_support.html,True
https://pillow.readthedocs.io/en/stable/reference/Image.html,True
https://pillow.readthedocs.io/en/stable/installation/,True
https://pillow.readthedocs.io/en/stable/reference/ImageOps.html,True
https://pillow.readthedocs.io/en/stable/handbook/image-file-formats.html,True
https://pillow.readthedocs.io/en/stable/reference/ImageTransform.html,True
https://pillow.readthedocs.io/en/stable/reference/PixelAccess.html,True
https://pillow.readthedocs.io/en/stable/reference/ImagePalette.html,True
https://pillow.readthedocs.io/en/stable/handbook/third-party-plugins.html,True
https://pillow.readthedocs.io/en/stable/reference/ImageEnhance.html,True
https://pillow.readthedocs.io/en/stable/reference/plugins.html,True
https://pillow.readthedocs.io/en/stable/reference/ImageFont.html,True
https://pillow.readthedocs.io/en/stable/handbook/tutorial.html,True
https://pillow.readthedocs.io/en/stable/reference/ImageFile.html,True
https://pillow.readthedocs.io/en/stable/reference/internal_modules.html,True
https://pillow.readthedocs.io/en/stable/handbook/concepts.html,True
https://pillow.readthedocs.io/en/stable/handbook/index.html,True
